operator,modes,n_routes,n_routes_in_connection_model,bikes_carried,bike_policy,restrictions,strongest_condition,policy_source,last_verified,listing_url,website
Flair Airlines,air,4,4,"yes, with conditions","Rides in the hold (boxed, bagged, or wrapped); Bike fee; Reserve bike spot; No e-bikes",No e-bikes,restriction,listing-description,,https://bccycletourism.ca/wwc/stop/8756f55c9e/,https://www.flyflair.com/
FlixBus (operated by MTRWestern),bus,1,1,"yes, with conditions","Rack on the bus (space not guaranteed); About $19–37; Book bike as add-on; No e-bikes, tandems or trailers","No e-bikes, tandems or trailers",restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/af3d5bbd19/,https://www.flixbus.ca
George Massey Tunnel Bike Shuttle,local-bus,1,1,yes,E-bikes OK,,none,listing-description,,https://bccycletourism.ca/wwc/stop/b65c89ee1c/,https://www.gov.bc.ca/george-massey-shuttle
Harbour Air,air,16,15,"yes, with conditions",Front wheel must come off; $20 handling fee (bike weight counts toward your baggage allowance); Not on the Twin Otter (other floatplanes are fine; confirm when booking),Not on the Twin Otter (other floatplanes are fine; confirm when booking),restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/f6d9ce9479/,https://www.harbourair.com
Helijet,air,2,0,unknown,,,,not-on-file,,,
Hullo,ferry,1,1,"yes, with conditions","Book online ahead (6 bike spots per sailing, 1 per guest); $19.99 one way ($25 in person); No e-bikes (no trailers, 80 in / 50 lb max)","No e-bikes (no trailers, 80 in / 50 lb max)",restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/e8324765f2/,https://www.hullo.com
Island Link,bus,3,3,no,Bikes are not carried on this operator's services. We checked this one specifically.,,,operator-checked,,https://bccycletourism.ca/wwc/stop/42fea27c49/,https://islandlinkbus.com
Lasqueti Island Ferry (Western Pacific Marine),water-taxi,1,1,"yes, with conditions",Bike fee,,fee,listing-description,,https://bccycletourism.ca/wwc/stop/84661e6aae/,https://westernpacificmarine.com/routes/lasqueti-island/
Lund Water Taxi,water-taxi,2,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/f6e2b04bf0/,https://www.lundwatertaxi.com/
MV Uchuck III (Nootka Sound Service Ltd / Get West),water-taxi,3,3,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/7640e33a07/,https://getwest.ca/cruises/schedule/
Metlakatla Ferry Service,water-taxi,1,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/fb6715dfdd/,https://www.metlakatla.ca/metlakatla-ferry-service/ferry-schedule
Mountain Man Mike's,bus,3,3,"yes, with conditions",Bikes accepted; Call for a quote (fee and packaging arranged with the booking agent),,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/9694f0f95d/,https://mountainmanmikes.ca/
National Car & Truck Rental (Vancouver Island),rental-car,7,7,"yes, with conditions","One-way between Island branches (no drop charge); Bike rides inside (SUV or minivan, seats folded, wheels off); Confirm one-way and vehicle when booking",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/77b9f3315a/,https://www.drivenational.ca
Newcastle Island Ferry Service LP,ferry,1,1,"yes, with conditions","Roll on; Bike fee ($5 (kids) / $7 (adult), return); No e-bikes",No e-bikes,restriction,listing-description,,https://bccycletourism.ca/wwc/stop/d5f417c1c2/,https://newcastleisland.ca/schedule
Nootka Water Taxi,water-taxi,1,0,unknown,,,,not-on-file,,,
Pacific Coastal Airlines,air,23,23,"yes, with conditions","Rides in the hold (small aircraft, limited space); About $105 per direction; No e-bikes",No e-bikes,restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/37d712c454/,https://www.pacificcoastal.com
Poparide,carpool,4,4,"yes, with conditions",Only some rides take bikes (look for the bicycle icon on the listing); Schedule is variable (check Poparide for driver-listed dates and times),Only some rides take bikes (look for the bicycle icon on the listing); Schedule is variable (check Poparide for driver-listed dates and times),restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/251538fa02/,https://www.poparide.com/
Qaya Way West Transportation,water-taxi,2,2,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/a71df6016c/,https://waywest.ca/
Quick Shuttle (Quick Coach Lines / TRAXX),bus,1,1,"yes, with conditions",Bikes accepted (book as an add-on); $42 USD each (about $57 CAD),,fee,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/cfa3ab3785/,https://quickcoach.com/en
Rider Express,bus,2,2,"yes, with conditions","Rides in the hold (bagged, wrapped, or boxed); $50 per bike (non-refundable)",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/85f8ab1d65/,https://www.riderexpress.ca
Saltspring Air,air,9,0,unknown,,,,not-on-file,,,
Savary Island Ferry (Finn Bay Marine / Access Point Marine),water-taxi,1,0,unknown,,,,not-on-file,,,
SeaCoastal Water Taxi (Kitasoo Xai'xais),water-taxi,2,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/a3918eb8be/,https://klemtutaxi.com/
Seair Seaplanes,air,10,0,unknown,,,,not-on-file,,,
Shorebird Expeditions,water-taxi,1,0,unknown,,,,not-on-file,,,
Silver City Stagelines,bus,1,1,no,Bikes are not carried on this operator's services. We checked this one specifically.,,,operator-checked,,https://bccycletourism.ca/wwc/stop/e9065ae25e/,https://fritztravels.com/
Squamish Connector,bus,1,1,"yes, with conditions",Book ahead; Max 2 bikes per trip; Some buses have an outside rack (otherwise carried in the luggage hold); $15 each way; No e-bikes,No e-bikes,restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/a3a6b94ea1/,https://www.squamishconnector.com
Sunshine Coast Connector,bus,1,1,"yes, with conditions",Reserve bike spot (rack space is limited); $20 bike · $40 e-bike; No box needed (rack on the bus),,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/653ad042f7/,https://www.sunshinecoastconnector.ca/
Sunshine Coast Shuttle,bus,1,0,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/a5117520f3/,https://sunshinecoastshuttle.ca/
Sutil Charters,water-taxi,1,0,unknown,,,,not-on-file,,,
Terracentric Coastal Adventures,water-taxi,1,0,unknown,,,,not-on-file,,,
Tofino Water Taxi,water-taxi,1,0,unknown,,,,not-on-file,,,
TransLink,local-bus; skytrain,8,7,"yes, with conditions","Rack on the bus, free; 2 bikes (first come, first served); E-bikes OK",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/6ee82dcb4e/,https://www.translink.ca/rider-guide/bike-and-ride-on-transit/bikes-on-transit
TransLink (Coast Mountain Bus Co.),local-bus,1,1,"yes, with conditions","Rack on the bus, free; 2 bikes (first come, first served); E-bikes OK",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/6ee82dcb4e/,https://www.translink.ca/rider-guide/bike-and-ride-on-transit/bikes-on-transit
TransLink (SeaBus),ferry,1,1,"yes, with conditions","Roll on, free (2 bikes per car); Avoid rush hour; E-bikes OK",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/60eab20168/,https://www.translink.ca/rider-guide/bikes-on-transit/seabus
TransLink (West Coast Express),local-train,1,1,"yes, with conditions","Roll on, free (2 bikes per car); Weekdays only (peak direction only)",Weekdays only (peak direction only),restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/6ee82dcb4e/,https://www.translink.ca/rider-guide/bike-and-ride-on-transit/bikes-on-transit
Tsimshian Storm (Kitkatla/Hartley Bay/Metlakatla),water-taxi,1,1,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/408314e58c/,https://gitxaalanation.com/ferries/
VIA Rail,intercity-train,2,2,"yes, with conditions","Checked baggage (staffed stations only, including Vancouver BC and Jasper AB); $25 per direction; E-bikes OK (battery disconnected at check-in)",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/4cb8d28c4b/,https://www.viarail.ca
Victoria Harbour Ferry,water-taxi,2,0,unknown,,,,not-on-file,,,
West Coast Launch,water-taxi,7,4,unknown,,,,not-on-file,,https://bccycletourism.ca/wwc/stop/22a5ae41f3/,https://www.westcoastlaunch.com/
West Coast Trail Express,bus,2,2,no,Bikes are not carried on this operator's services. We checked this one specifically.,,,operator-checked,,https://bccycletourism.ca/wwc/stop/5117c40285/,https://trailbus.com/
West Coast Transit System (Tofino/Ucluelet),local-bus,1,1,yes,"Rack on the bus, free (2 bikes · first come, first served); E-bikes OK",,none,listing-description,,https://bccycletourism.ca/wwc/stop/da412616ad/,https://www.bctransit.com
WestJet,air,4,4,"yes, with conditions",Box or sturdy bag required; Bike fee; No e-bikes,Box or sturdy bag required; No e-bikes,restriction,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/b5f48a88ff/,https://www.westjet.com
Whistler Shuttle,bus,1,1,"yes, with conditions",Book ahead (bikes carried with advance notice); Bike fee,,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/c7e12671ea/,https://www.whistlershuttle.com
Wilderness Seaplanes,air,5,0,unknown,,,,not-on-file,,,
Wilson's Transportation (BC Connector),bus,1,1,"yes, with conditions",Rides in the hold (bagged or boxed); $42 per bike (50 lb max); Reserve bike spot (recommended),,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/ca9171f28f/,https://wilsonstransportation.com/
YVR Skylynx,bus,1,1,"yes, with conditions","Rides in the hold (bagged, wrapped, or boxed); First bike free; Reserve ahead (Squamish is reservation-only)",,preparation,operator-checked,2026-07-13,https://bccycletourism.ca/wwc/stop/49b1ded455/,https://www.yvrskylynx.com
Zeballos Expeditions (Zeballos Water Taxi),water-taxi,1,0,unknown,,,,not-on-file,,,
