slug,name,publisher,publisher_id,source_url,regions,communities,start_locality,km,ascent_m,ascent_per_km,length_class,bc_fraction,bc_fraction_source,matched_fraction,bc_match_rate,n_ways,gap_km,gap_cause,drift_km,routed_km,rideable_km,unmatched_km,ferry_km,cross_border_km,unpaved_pct,unpaved_pct_source,rugg_dom,rugg_max,rugg_p75,steep_pct,remote_share,comfort_comfy_pct,comfort_onaxis_km,traffic_floor,fastroad,fast_km,fast_rated,source_difficulty,singletrack_pct,tier,tier_surface_term,tier_climb_term,tier_singletrack_term,tier_remoteness_term,tier_decisive_floor,tier_floor_reason,comfort_label,surface_labels,difficulty_sentence,comfort_km_c1,comfort_km_c2,comfort_km_c3,comfort_km_c4,comfort_km_c5,comfort_km_c6,comfort_km_backcountry,comfort_km_forbidden
afterschool-special,Afterschool Special,Love Machine,love-machine,https://www.lovemachinecycling.ca/routes/afterschoolspecial,"Vancouver, Coast and Mountains",,,43.0,429.0,10.0,Full day,1.0,measured,0.9446,0.9899,111,2.37,none,0.0,0.0,33.25,0.34,0.54,0.0,46,osm,0,2,1,2,0,99,35.3,,,0,TRUE,,,Moderate,0,1,0,0,,,Low-traffic riding,Mixed surface; Some climbing,"Difficulty: Moderate, because of some climbing.",31.6,0.2,0.4,0.0,0.0,0.0,3.1,0.0
alberni-bam-bam-vancouver-island,"Alberni Bam Bam, Vancouver Island",bikepacking.com,bikepacking-com,https://bikepacking.com/routes/alberni-bam-bam/,Vancouver Island,Caycuse; Cherry Creek; Coombs; Errington; Lake Cowichan; Nanaimo; Nanoose Bay; Parksville; Port Alberni; Port Renfrew; Qualicum Bay; Qualicum Beach,Nanaimo,507.0,9765.0,19.3,Expedition,1.0,measured,0.8739,0.9901,293,63.96,none,0.54,0.41,442.21,4.4,31.81,0.0,72,osm,2,2,2,31,31,54,425.9,,sections,62,TRUE,2,2,Ambitious,1,2,0,0,,,Some traffic sharing,Mostly gravel; Lots of climbing; Remote stretches,"Difficulty: Ambitious, because of lots of climbing + some loose surface.",10.1,179.9,115.9,20.1,52.3,9.5,38.2,0.0
alternate-trail-salmo,Alternate Trail Salmo,Trails BC,trails-bc,https://trailsbc.ca/routes/alternate-trail-salmo/,Kootenay Rockies,Fruitvale; Salmo; Trail,,109.0,1368.0,12.6,Weekend or more,1.0,measured,0.9779,0.9909,110,2.41,none,0.0,0.23,108.96,1.0,0.0,0.0,17,osm,0,0,0,9,0,32,106.2,2,mostly,55,TRUE,,,Ambitious,0,2,0,0,,,Shares roads with traffic,Mixed surface; Lots of climbing,"Difficulty: Ambitious, because of lots of climbing.",1.1,33.4,16.2,0.1,5.0,50.4,0.0,0.0
alternate-tsawwassen-langley,Alternate Tsawwassen Langley,Trails BC,trails-bc,https://trailsbc.ca/routes/alternate-tsawwassen-langley/,"Vancouver, Coast and Mountains",Beach Grove; Burnaby; Coquitlam; Delta; Langley; Maple Ridge; New Westminster; Pitt Meadows; Port Coquitlam; Richmond; Surrey; Tsawwassen,,61.0,231.0,3.8,Full day,1.0,measured,0.9592,0.9916,133,2.5,none,0.14,0.0,51.14,0.43,0.18,0.0,46,osm,0,2,1,3,0,98,56.1,,,0,TRUE,,,Easy,0,0,0,0,,,Low-traffic riding,Mixed surface; Gentle grades,Difficulty: Easy — no major climbing or rough surface.,46.3,5.0,0.5,0.4,0.0,0.0,4.0,0.0
around-the-babines,Around the Babines,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/around-the-babines/,Northern British Columbia,Smithers,Smithers,110.0,2085.0,19.0,Weekend or more,1.0,measured,0.9865,0.9952,55,1.49,none,0.21,0.0,109.97,0.53,0.0,0.0,77,osm,2,2,2,43,28,77,108.5,,sections,13,TRUE,2,10,Ambitious,1,2,0,0,,,Low-traffic riding,Mostly gravel; Lots of climbing; Remote stretches,"Difficulty: Ambitious, because of lots of climbing + some loose surface.",0.5,56.5,10.6,0.4,2.0,11.5,27.0,0.0
around-the-mountain,Around the Mountain,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; New Westminster; North Vancouver; Port Coquitlam; Port Moody; Surrey; Vancouver,Port Moody,23.0,,,Afternoon,1.0,measured,0.9568,0.9799,71,0.98,none,0.0,0.0,21.04,0.42,0.0,0.0,37,osm,0,2,1,14,0,84,20.3,,,1,TRUE,2,,Ambitious,0,1,0,0,publisher,,Low-traffic riding,Mixed surface,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum, plus some climbing.",11.5,4.7,2.2,0.0,0.0,1.1,0.8,0.0
bamfield,BT700 Bamfield,BT 700 Bikepacking,bt-700-bikepacking,http://www.bt700.ca/biggriz.html,Vancouver Island,Port Alberni,Alberni-Clayoquot,110.0,972.0,8.8,Weekend or more,1.0,measured,0.4653,0.9886,40,58.79,ferry,0.14,0.0,50.49,0.58,31.54,0.0,86,osm,2,2,2,38,21,73,49.3,,sections,9,TRUE,2,,Ambitious,1,2,0,0,,,Some traffic sharing,Almost all gravel; Some climbing; Remote stretches,"Difficulty: Ambitious, because of lots of climbing + some loose surface.",0.0,36.0,4.5,0.0,0.0,8.7,0.1,0.0
barnston-island-from-tynehead-park,Barnston Island (from Tynehead Park),Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Langley; Maple Ridge; Pitt Meadows; Port Coquitlam; Surrey,Surrey,18.0,22.0,1.2,Afternoon,1.0,measured,0.9594,0.9967,21,0.74,none,0.0,0.0,17.03,0.06,1.15,0.0,22,osm,3,3,3,1,0,86,16.9,,,0,TRUE,0,,Ambitious,2,0,0,0,,,Low-traffic riding,Mixed surface; Chunky gravel; Gentle grades,"Difficulty: Ambitious, because of chunky surface.",4.6,10.0,2.4,0.0,0.0,0.0,0.0,0.2
barry-s-loop,Barry's Loop,Bike Gear Database,bike-gear-database,https://ridewithgps.com/routes/51377630,Vancouver Island,Central Saanich; Colwood; Esquimalt; Langford; Oak Bay; Saanich; Victoria; View Royal,Esquimalt,58.0,618.0,10.7,Full day,1.0,measured,0.9464,0.9661,160,3.11,none,0.0,0.0,54.77,1.85,1.08,0.0,39,osm,0,3,2,13,0,89,53.2,,,0,TRUE,1,,Ambitious,1,1,0,0,,,Low-traffic riding,Mixed surface; Chunky gravel; Some climbing,"Difficulty: Ambitious, because of some loose surface + some climbing.",36.0,7.8,5.3,0.3,0.0,0.0,3.8,0.0
bc-grasslands-circuit,BC Grasslands Circuit,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bc-grasslands-circuit/,Thompson Okanagan,Kamloops,Kamloops,250.0,4054.0,16.2,Weekend or more,1.0,measured,0.9943,0.9979,69,1.41,none,0.08,1.63,250.17,0.54,0.0,0.0,63,osm,2,2,2,43,13,60,246.8,,sections,46,TRUE,2,0,Ambitious,1,2,0,0,,,Some traffic sharing,Mostly gravel; Lots of climbing,"Difficulty: Ambitious, because of lots of climbing + some loose surface.",0.2,137.9,23.3,30.3,0.0,45.7,9.5,0.0
bc-gravel,BC Gravel (BC Only),Elbow Valley Cycle Club,elbow-valley-cycle-club,https://ridewithgps.com/routes/54760775,"Thompson Okanagan; Kootenay Rockies; Vancouver, Coast and Mountains",Abbotsford; Agassiz; Aldergrove; Bridal Falls; Burnaby; Castlegar; Chilliwack; Christina Lake; Cokato; Coquitlam; Cranbrook; Crescent Bay; Cultus Lake; Elkford; Fernie; Fife; Fort Langley; Grand Forks; Greenwood; Harrison Hot Springs; Hope; Kelowna; Kent; Kimberley; Langley; Maple Ridge; Midway; Mission; Naramata; Nelson; New Westminster; North Vancouver; Penticton; Pitt Meadows; Port Coquitlam; Port Moody; Princeton; Richmond; Sparwood; Summerland; Surrey; Tulameen; Vancouver; West Vancouver,Vancouver,1300.0,17063.0,13.1,Expedition,1.0,measured,0.9758,0.992,1029,31.45,none,4.27,0.89,1290.57,10.31,9.43,0.0,62,osm,0,3,2,13,20,67,1246.7,,sections,177,TRUE,,,Epic,1,2,0,0,distance,km,Some traffic sharing,Mostly gravel; Chunky gravel; Lots of climbing; Remote stretches,"Difficulty: Epic, because of sheer distance, plus lots of climbing.",369.2,234.3,206.0,28.5,69.8,107.6,231.3,0.0
bc-part-one,"Great Northern Bikepacking Route, BC Part One",Great Northern Bikepacking Route,great-northern-bikepacking-route,https://www.greatnorthernbikepacking.com/britishcolumbia.html,"Vancouver, Coast and Mountains; Thompson Okanagan; Cariboo Chilcotin Coast",Ashcroft; Bowen Island; Britannia Beach; Lillooet; Logan Lake; Merritt; Mount Currie; North Vancouver; Pemberton; Richmond; Squamish; Swift; Vancouver; West Vancouver; Whistler,Richmond,583.0,11950.0,20.5,Expedition,1.0,measured,0.9813,0.995,570,10.92,none,0.55,0.0,565.89,2.85,0.49,0.0,40,osm,0,2,2,33,5,46,558.7,2,sections,213,TRUE,,,Epic,1,3,0,0,distance,ascent,Some traffic sharing,Mixed surface; Max climbing,"Difficulty: Epic, because of sheer climbing, plus punishing climbs.",56.9,151.7,82.9,8.7,59.8,152.8,45.8,0.3
bc-part-two,"Great Northern Bikepacking Route, BC Part Two",Great Northern Bikepacking Route,great-northern-bikepacking-route,https://www.greatnorthernbikepacking.com/britishcolumbia.html,Kootenay Rockies; Thompson Okanagan,Cokato; Cranbrook; Crescent Bay; Elkford; Fernie; Kelowna; Kimberley; Merritt; Nakusp; Naramata; New Denver; Penticton; Princeton; Slocan; Sparwood; Summerland; Tulameen,Thompson-Nicola,1187.0,18412.0,15.5,Expedition,1.0,measured,0.9783,0.9897,613,25.78,none,1.13,1.24,1177.33,12.15,9.96,0.0,71,osm,2,2,2,27,32,61,1126.5,,sections,196,TRUE,,,Epic,1,2,0,0,distance,km,Some traffic sharing,Mostly gravel; Lots of climbing; Remote stretches,"Difficulty: Epic, because of sheer distance, plus lots of climbing.",173.4,344.4,237.0,1.8,36.1,160.0,173.8,0.0
bcr-5306-iron-mine-bay-grando,Iron Mine Bay Grando,British Columbia Randonneurs,british-columbia-randonneurs,https://database.randonneurs.bc.ca/event/5306,Vancouver Island,Central Saanich; Colwood; Esquimalt; Langford; Metchosin; Oak Bay; Saanich; Sooke; Victoria; View Royal,Saanich,102.0,769.0,7.5,Weekend or more,1.0,measured,0.9688,0.99,124,3.19,none,0.0,0.0,102.07,1.02,0.0,0.0,51,osm,0,1,1,3,0,75,97.8,,,0,TRUE,2,,Ambitious,0,1,0,0,publisher,,Low-traffic riding,Mostly gravel; Some climbing,"Difficulty: Ambitious, because of the route publisher's own rating as a minimum, plus some climbing.",69.5,4.1,23.2,0.7,0.0,0.3,0.0,0.0
belcarra-park-sasamat-lake-40km,Belcarra Park & Sasamat Lake 40km,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; North Vancouver; Port Coquitlam; Port Moody,Port Moody,21.0,469.0,22.3,Afternoon,1.0,measured,0.9402,0.9537,62,1.23,none,0.0,0.0,15.68,0.73,0.0,0.0,14,osm,0,0,0,14,0,78,18.7,,,0,TRUE,0,,Ambitious,0,3,0,0,,,Low-traffic riding,Mostly paved; Max climbing,"Difficulty: Ambitious, because of punishing climbs.",8.1,6.5,3.5,0.7,0.0,0.0,0.0,0.0
best-of-the-south-chilcotin-mountains,Best of the South Chilcotin Mountains,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bikepacking-the-chilcotin-mountains/,Cariboo Chilcotin Coast,,Squamish-Lillooet Regional District,121.0,3393.0,28.0,Weekend or more,1.0,measured,0.9928,0.9984,45,0.87,none,0.0,0.0,120.61,0.19,0.0,0.0,100,osm,2,4,3,80,100,100,98.0,,,0,TRUE,4,65,Epic,2,3,1,2,,,Low-traffic riding,"Almost all gravel; Lots of singletrack; Rough, near-MTB; Max climbing; Remote stretches","Difficulty: Epic, because of punishing climbs + chunky surface.",0.5,28.7,0.0,0.0,0.0,0.0,68.9,0.0
best-of-the-south-chilcotins-alternate-route,Best of the South Chilcotins (Alternate Route),bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bikepacking-the-chilcotin-mountains/,Cariboo Chilcotin Coast,,Squamish-Lillooet Regional District,120.0,4541.0,37.8,Weekend or more,1.0,measured,0.9927,0.9984,47,0.87,none,0.0,0.0,120.46,0.19,0.0,0.0,100,osm,2,4,2,88,100,100,118.7,,,0,TRUE,2,,Epic,1,3,0,2,,,Low-traffic riding,"Almost all gravel; Rough, near-MTB; Max climbing; Remote stretches","Difficulty: Epic, because of punishing climbs + long stretches far from services.",0.0,27.2,0.0,0.0,0.0,0.0,91.5,0.0
bikepacking-the-camelsfoot-range,Bikepacking the Camelsfoot Range,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bikepacking-the-camelsfoot-range/,Cariboo Chilcotin Coast,,Squamish-Lillooet Regional District,158.0,4720.0,29.9,Weekend or more,1.0,measured,0.6856,0.6861,35,49.82,backcountry,1.96,2.48,158.48,49.74,0.0,0.0,100,osm,2,4,3,79,100,100,108.8,,,0,TRUE,4,42,Epic,2,3,1,2,,,Low-traffic riding,"Almost all gravel; Lots of singletrack; Rough, near-MTB; Max climbing; Remote stretches","Difficulty: Epic, because of punishing climbs + chunky surface.",0.0,24.9,0.0,0.0,0.0,0.0,83.9,0.0
bikepacking-the-sea-to-sky-trail,Bikepacking the Sea to Sky Trail,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bikepacking-sea-to-sky-trail/,"Vancouver, Coast and Mountains",Pemberton; Squamish; Swift; Whistler,Squamish,101.0,1917.0,19.0,Weekend or more,1.0,measured,0.9708,0.9897,151,2.95,none,0.0,0.0,101.03,1.04,0.0,0.0,48,osm,0,2,2,20,0,75,93.3,,sections,14,TRUE,2,45,Challenging,1,2,1,0,,,Some traffic sharing,Mixed surface; Lots of singletrack; Lots of climbing,"Difficulty: Challenging, because of lots of climbing + some loose surface.",34.9,15.2,6.3,3.0,0.0,14.5,19.3,0.0
blue-heron-loop-50,Blue Heron Loop,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Coquitlam; Langley; Maple Ridge; Pitt Meadows; Port Coquitlam,Pitt Meadows,18.0,130.0,7.2,Afternoon,1.0,measured,0.97,0.9947,26,0.55,none,0.0,0.0,18.18,0.1,0.0,0.0,93,osm,2,3,2,0,0,99,17.4,,,0,TRUE,0,,Ambitious,1,1,0,0,,,Low-traffic riding,Almost all gravel; Chunky gravel; Some climbing,"Difficulty: Ambitious, because of some loose surface + some climbing.",15.9,0.9,0.0,0.1,0.1,0.0,0.3,0.0
bmut-burnaby-mountain-urban-trail,BMUT - Burnaby Mountain Urban Trail,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; New Westminster; North Vancouver; Port Moody; Surrey; Vancouver,Burnaby,17.0,,,Afternoon,1.0,measured,0.9487,0.9786,34,0.87,none,0.06,0.0,16.97,0.36,0.0,0.0,6,osm,0,0,0,2,0,100,14.4,,,0,TRUE,0,,Easy,0,0,0,0,,,Low-traffic riding,Mostly paved,Difficulty: Easy — no major climbing or rough surface.,14.1,0.4,0.0,0.0,0.0,0.0,0.0,0.0
bmut-lougheed-to-gastown,BMUT Lougheed to Gastown,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; New Westminster; North Vancouver; Port Moody; Surrey; Vancouver; West Vancouver,Burnaby,42.0,,,Full day,1.0,measured,0.943,0.9703,86,2.41,none,0.06,0.0,35.9,1.06,0.0,0.0,26,osm,0,2,0,1,0,100,34.2,,,0,TRUE,1,,Moderate,0,0,0,0,publisher,,Low-traffic riding,Mixed surface,"Difficulty: Moderate, because of the route publisher's own rating as a minimum.",30.4,3.8,0.0,0.0,0.0,0.0,0.0,0.0
bonnington-scrambler,Bonnington Scrambler,bikepacking.com,bikepacking-com,https://bikepacking.com/routes/bonnington-scrambler/,Kootenay Rockies,Castlegar; Nelson,Nelson,126.0,3396.0,27.0,Weekend or more,1.0,measured,0.8611,0.8646,83,17.48,backcountry,0.54,0.0,125.82,17.03,0.0,0.0,76,osm,2,2,2,48,0,82,91.1,,,0,TRUE,4,10,Challenging,1,3,0,0,,,Low-traffic riding,Mostly gravel; Max climbing,"Difficulty: Challenging, because of punishing climbs + some loose surface.",22.3,37.5,15.8,0.0,0.0,0.4,15.1,0.0
boundary-bay-dyke-trail,Boundary Bay Dyke Trail,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Beach Grove; Delta; Surrey,Surrey,25.0,12.0,0.5,Afternoon,1.0,measured,0.9819,0.9938,26,0.45,none,0.0,0.0,15.05,0.09,0.0,0.0,87,osm,2,2,1,0,0,100,20.6,,,0,TRUE,0,,Easy,0,0,0,0,,,Low-traffic riding,Almost all gravel; Gentle grades,Difficulty: Easy — no major climbing or rough surface.,19.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0
burnabop,Burnabop,Love Machine,love-machine,https://www.lovemachinecycling.ca/routes/burnabop,"Vancouver, Coast and Mountains",,,43.0,666.0,15.5,Full day,1.0,measured,0.9317,0.9685,157,2.93,none,0.0,0.0,42.85,1.35,0.0,0.0,41,osm,0,2,1,17,0,94,27.9,,,0,TRUE,,,Ambitious,0,2,0,0,,,Low-traffic riding,Mixed surface; Lots of climbing,"Difficulty: Ambitious, because of lots of climbing.",18.9,1.9,1.4,0.2,0.0,0.0,5.6,0.0
burnaby-lakes-creeks,Burnaby Lakes & Creeks,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; Delta; New Westminster; North Vancouver; Port Moody; Richmond; Surrey; Vancouver,Coquitlam,28.0,266.0,9.5,Afternoon,1.0,measured,0.9378,0.9624,82,1.75,none,0.0,0.0,28.11,1.06,0.0,0.0,39,osm,0,2,1,4,0,87,23.5,,,0,TRUE,0,,Moderate,0,1,0,0,,,Low-traffic riding,Mixed surface; Some climbing,"Difficulty: Moderate, because of some climbing.",16.4,4.2,2.9,0.1,0.0,0.0,0.0,0.0
burnaby-orbit,Burnaby Orbit,Love Machine,love-machine,https://www.lovemachinecycling.ca/routes/burnabyorbit,"Vancouver, Coast and Mountains",,,48.0,620.0,12.9,Full day,1.0,measured,0.9356,0.9526,163,3.08,none,0.0,0.0,42.93,2.04,0.0,0.0,52,osm,0,2,1,5,0,99,37.7,,,0,TRUE,,,Ambitious,0,2,0,0,,,Low-traffic riding,Mostly gravel; Lots of climbing,"Difficulty: Ambitious, because of lots of climbing.",33.8,3.1,0.4,0.0,0.0,0.0,0.4,0.0
burrard-inlet-trails,Burrard Inlet Trails,Let's Go Biking,lets-go-biking,https://www.letsgobiking.net/shop/lets-go-biking-around-vancouver/,"Vancouver, Coast and Mountains",Burnaby; Coquitlam; North Vancouver; Port Moody,Burnaby,7.0,,,Afternoon,1.0,measured,0.9627,0.9722,19,0.26,none,0.0,0.0,6.97,0.19,0.0,0.0,77,osm,1,3,3,2,0,82,6.4,,,1,TRUE,,,Ambitious,2,0,0,0,,,Low-traffic riding,Mostly gravel; Chunky gravel,"Difficulty: Ambitious, because of chunky surface.",5.0,0.2,0.0,0.0,0.0,1.1,0.0,0.0
campbell-river,Campbell River,Elbow Valley Cycle Club,elbow-valley-cycle-club,https://ridewithgps.com/routes/39771331,Vancouver Island,Campbell River; Quathiaski Cove; Quinsam,Campbell River,33.0,147.0,4.5,Full day,1.0,measured,0.9775,0.9967,55,0.73,none,0.0,0.0,32.51,0.11,0.0,0.0,3,osm,0,0,0,0,0,41,30.0,,sections,10,TRUE,0,,Easy,0,0,0,0,,,Shares roads with traffic,Mostly paved; Gentle grades,Difficulty: Easy — no major climbing or rough surface.,6.9,4.4,5.0,2.9,0.3,9.4,1.1,0.0
